sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4689974	ERR2598052	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598052/ERR2598052.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2598052/ERR2598052.fastq.gz	E-MTAB-6814:2024sTSb.Human.Heart.10w.Male
SAMEA4689977	ERR2598055	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2598055/ERR2598055.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/005/ERR2598055/ERR2598055.fastq.gz	E-MTAB-6814:5679sTS.Human.Heart.10w.Female
SAMEA4689980	ERR2598058	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/008/ERR2598058/ERR2598058.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/008/ERR2598058/ERR2598058.fastq.gz	E-MTAB-6814:5646sTS.Human.Kidney.10w.Female
SAMEA4689979	ERR2598057	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2598057/ERR2598057.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/007/ERR2598057/ERR2598057.fastq.gz	E-MTAB-6814:5743sTS.Human.Hindbrain.10w.Female
SAMEA4689984	ERR2598062	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598062/ERR2598062.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2598062/ERR2598062.fastq.gz	E-MTAB-6814:2094sTS.Human.Liver.10w.Female
SAMEA4689986	ERR2598064	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598064/ERR2598064.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/004/ERR2598064/ERR2598064.fastq.gz	E-MTAB-6814:5678sTS.Human.Liver.10w.Female
SAMEA4689995	ERR2598073	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2598073/ERR2598073.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/003/ERR2598073/ERR2598073.fastq.gz	E-MTAB-6814:1437sTS.Human.Heart.11w.Male
SAMEA4689996	ERR2598074	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598074/ERR2598074.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/004/ERR2598074/ERR2598074.fastq.gz	E-MTAB-6814:2044sTS.Human.Heart.11w.Male
SAMEA4690007	ERR2598085	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2598085/ERR2598085.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/005/ERR2598085/ERR2598085.fastq.gz	E-MTAB-6814:3779sTS.Human.Liver.11w.Female
SAMEA4690011	ERR2598089	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/009/ERR2598089/ERR2598089.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/009/ERR2598089/ERR2598089.fastq.gz	E-MTAB-6814:5721sTS.Human.Forebrain.12w.Male
SAMEA4690012	ERR2598090	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2598090/ERR2598090.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/000/ERR2598090/ERR2598090.fastq.gz	E-MTAB-6814:3585sTS.Human.Heart.12w.Female
SAMEA4690013	ERR2598091	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598091/ERR2598091.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/001/ERR2598091/ERR2598091.fastq.gz	E-MTAB-6814:3770sTS.Human.Heart.12w.Male
SAMEA4690014	ERR2598092	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598092/ERR2598092.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2598092/ERR2598092.fastq.gz	E-MTAB-6814:3769sTS.Human.Hindbrain.12w.Male
SAMEA4690018	ERR2598096	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2598096/ERR2598096.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/006/ERR2598096/ERR2598096.fastq.gz	E-MTAB-6814:5651sTS.Human.Kidney.12w.Male
SAMEA4690022	ERR2598100	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2598100/ERR2598100.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/000/ERR2598100/ERR2598100.fastq.gz	E-MTAB-6814:3775sTS.Human.Testis.12w.Male
SAMEA4690024	ERR2598102	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598102/ERR2598102.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2598102/ERR2598102.fastq.gz	E-MTAB-6814:5711sTS.Human.Forebrain.13w.Male
SAMEA4690031	ERR2598109	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/009/ERR2598109/ERR2598109.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/009/ERR2598109/ERR2598109.fastq.gz	E-MTAB-6814:5670sTS.Human.Hindbrain.13w.Male
SAMEA4690036	ERR2598114	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598114/ERR2598114.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/004/ERR2598114/ERR2598114.fastq.gz	E-MTAB-6814:5713sTS.Human.Kidney.13w.Male
SAMEA4690038	ERR2598116	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2598116/ERR2598116.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/006/ERR2598116/ERR2598116.fastq.gz	E-MTAB-6814:5944sTS.Human.Ovary.13w.Female
SAMEA4690043	ERR2598121	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598121/ERR2598121.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/001/ERR2598121/ERR2598121.fastq.gz	E-MTAB-6814:5951sTS.Human.Forebrain.16w.Male
SAMEA4690047	ERR2598125	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2598125/ERR2598125.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/005/ERR2598125/ERR2598125.fastq.gz	E-MTAB-6814:5669sTS.Human.Hindbrain.16w.Female
SAMEA4690059	ERR2598137	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2598137/ERR2598137.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/007/ERR2598137/ERR2598137.fastq.gz	E-MTAB-6814:5667sTS.Human.Forebrain.18w.Male
SAMEA4690063	ERR2598141	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598141/ERR2598141.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/001/ERR2598141/ERR2598141.fastq.gz	E-MTAB-6814:5957sTS.Human.Kidney.18w.Female
SAMEA4690065	ERR2598143	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2598143/ERR2598143.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/003/ERR2598143/ERR2598143.fastq.gz	E-MTAB-6814:5657sTS.Human.Liver.18w.Male
SAMEA4690066	ERR2598144	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598144/ERR2598144.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/004/ERR2598144/ERR2598144.fastq.gz	E-MTAB-6814:5948sTS.Human.Liver.18w.Female
SAMEA4690069	ERR2598147	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2598147/ERR2598147.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/007/ERR2598147/ERR2598147.fastq.gz	E-MTAB-6814:5653sTS.Human.Testis.18w.Male
SAMEA4690073	ERR2598151	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598151/ERR2598151.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/001/ERR2598151/ERR2598151.fastq.gz	E-MTAB-6814:5668sTS.Human.Brain.20w.Male
SAMEA4690079	ERR2598157	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2598157/ERR2598157.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/007/ERR2598157/ERR2598157.fastq.gz	E-MTAB-6814:5771sTS.Human.Kidney.20w.Female
SAMEA4690084	ERR2598162	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598162/ERR2598162.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2598162/ERR2598162.fastq.gz	E-MTAB-6814:5773sTS.Human.Liver.20w.Male
SAMEA4690090	ERR2598168	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/008/ERR2598168/ERR2598168.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/008/ERR2598168/ERR2598168.fastq.gz	E-MTAB-6814:3588sTS.Human.Heart.CS13.Male
