sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4699346	ERR2603641	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/001/ERR2603641/ERR2603641.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/001/ERR2603641/ERR2603641.fastq.gz	E-MTAB-6833:5180sTS.Opossum.Brain.13.5.Female
SAMEA4699348	ERR2603643	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2603643/ERR2603643.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/003/ERR2603643/ERR2603643.fastq.gz	E-MTAB-6833:5186sTS.Opossum.Heart.13.5.Male
SAMEA4699351	ERR2603646	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/006/ERR2603646/ERR2603646.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/006/ERR2603646/ERR2603646.fastq.gz	E-MTAB-6833:5181sTS.Opossum.Cerebellum.13.5.Female
SAMEA4699354	ERR2603649	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2603649/ERR2603649.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/009/ERR2603649/ERR2603649.fastq.gz	E-MTAB-6833:5183sTS.Opossum.Liver.13.5.Female
SAMEA4699357	ERR2603652	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/002/ERR2603652/ERR2603652.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/002/ERR2603652/ERR2603652.fastq.gz	E-MTAB-6833:4805sTS.Opossum.Brain.0dpb.Male
SAMEA4699362	ERR2603657	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2603657/ERR2603657.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/007/ERR2603657/ERR2603657.fastq.gz	E-MTAB-6833:5214sTS.Opossum.Heart.0dpb.Female
SAMEA4699364	ERR2603659	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2603659/ERR2603659.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/009/ERR2603659/ERR2603659.fastq.gz	E-MTAB-6833:5294sTS.Opossum.Cerebellum.0dpb.Female
SAMEA4699372	ERR2603667	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2603667/ERR2603667.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/007/ERR2603667/ERR2603667.fastq.gz	E-MTAB-6833:5045sTS.Opossum.Heart.10dpb.Male
SAMEA4699374	ERR2603669	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2603669/ERR2603669.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/009/ERR2603669/ERR2603669.fastq.gz	E-MTAB-6833:5590sTS.Opossum.Heart.10dpb.Female
SAMEA4699376	ERR2603671	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/001/ERR2603671/ERR2603671.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/001/ERR2603671/ERR2603671.fastq.gz	E-MTAB-6833:4812sTS.Opossum.Cerebellum.10dpb.Female
SAMEA4699379	ERR2603674	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/004/ERR2603674/ERR2603674.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/004/ERR2603674/ERR2603674.fastq.gz	E-MTAB-6833:5046sTS.Opossum.Kidney.10dpb.Male
SAMEA4699381	ERR2603676	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/006/ERR2603676/ERR2603676.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/006/ERR2603676/ERR2603676.fastq.gz	E-MTAB-6833:5591sTS.Opossum.Kidney.10dpb.Female
SAMEA4699384	ERR2603679	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2603679/ERR2603679.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/009/ERR2603679/ERR2603679.fastq.gz	E-MTAB-6833:5050sTS.Opossum.Liver.10dpb.Female
SAMEA4699385	ERR2603680	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/000/ERR2603680/ERR2603680.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/000/ERR2603680/ERR2603680.fastq.gz	E-MTAB-6833:5589sTS.Opossum.Liver.10dpb.Female
SAMEA4699386	ERR2603681	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/001/ERR2603681/ERR2603681.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/001/ERR2603681/ERR2603681.fastq.gz	E-MTAB-6833:5324sTS.Opossum.Ovary.10dpb.Female
SAMEA4699387	ERR2603682	Monodelphis domestica	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/002/ERR2603682/ERR2603682.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR260/002/ERR2603682/ERR2603682.fastq.gz	E-MTAB-6833:5592sTS.Opossum.Ovary.10dpb.Female
