sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4688320	ERR2596801	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2596801/ERR2596801.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/001/ERR2596801/ERR2596801.fastq.gz	E-MTAB-6813:6053sTS.Macaque.Brain.7dpb.Male
SAMEA4688322	ERR2596803	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2596803/ERR2596803.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/003/ERR2596803/ERR2596803.fastq.gz	E-MTAB-6813:5444sTS.Macaque.Heart.23dpb.Male
SAMEA4688324	ERR2596805	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2596805/ERR2596805.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/005/ERR2596805/ERR2596805.fastq.gz	E-MTAB-6813:6055sTS.Macaque.Heart.7dpb.Male
SAMEA4688327	ERR2596808	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/008/ERR2596808/ERR2596808.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/008/ERR2596808/ERR2596808.fastq.gz	E-MTAB-6813:5467sTS.Macaque.Cerebellum.22dpb.Male
SAMEA4688329	ERR2596810	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2596810/ERR2596810.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/000/ERR2596810/ERR2596810.fastq.gz	E-MTAB-6813:5499sTS.Macaque.Cerebellum.23dpb.Male
SAMEA4688331	ERR2596812	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2596812/ERR2596812.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2596812/ERR2596812.fastq.gz	E-MTAB-6813:5486sTS.Macaque.Kidney.1dpb.Male
SAMEA4688334	ERR2596815	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2596815/ERR2596815.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/005/ERR2596815/ERR2596815.fastq.gz	E-MTAB-6813:6123sTS.Macaque.Kidney.20dpb.Male
SAMEA4688340	ERR2596821	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2596821/ERR2596821.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/001/ERR2596821/ERR2596821.fastq.gz	E-MTAB-6813:6054sTS.Macaque.Liver.7dpb.Male
SAMEA4688341	ERR2596822	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2596822/ERR2596822.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2596822/ERR2596822.fastq.gz	E-MTAB-6813:5372sTS.Macaque.Testis.22dpb.Male
SAMEA4688342	ERR2596823	Macaca mulatta	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2596823/ERR2596823.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/003/ERR2596823/ERR2596823.fastq.gz	E-MTAB-6813:5379sTS.Macaque.Testis.1dpb.Male
