sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4680555	ERR2592346	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2592346/ERR2592346.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/006/ERR2592346/ERR2592346.fastq.gz	E-MTAB-6811:4323sTS.Rat.Heart.11.Female
SAMEA4680556	ERR2592347	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2592347/ERR2592347.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/007/ERR2592347/ERR2592347.fastq.gz	E-MTAB-6811:4324sTS.Rat.Brain.11.Female
SAMEA4680557	ERR2592348	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/008/ERR2592348/ERR2592348.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/008/ERR2592348/ERR2592348.fastq.gz	E-MTAB-6811:4325sTS.Rat.Heart.11.Female
SAMEA4680565	ERR2592356	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2592356/ERR2592356.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/006/ERR2592356/ERR2592356.fastq.gz	E-MTAB-6811:4180sTS.Rat.Testis.12.Male
SAMEA4680567	ERR2592358	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/008/ERR2592358/ERR2592358.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/008/ERR2592358/ERR2592358.fastq.gz	E-MTAB-6811:4194sTS.Rat.Heart.12.Male
SAMEA4680568	ERR2592359	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/009/ERR2592359/ERR2592359.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/009/ERR2592359/ERR2592359.fastq.gz	E-MTAB-6811:4195sTS.Rat.Liver.12.Male
SAMEA4680569	ERR2592360	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2592360/ERR2592360.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/000/ERR2592360/ERR2592360.fastq.gz	E-MTAB-6811:4196sTS.Rat.Heart.12.Male
SAMEA4680573	ERR2592364	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2592364/ERR2592364.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/004/ERR2592364/ERR2592364.fastq.gz	E-MTAB-6811:4202sTS.Rat.Liver.12.Female
SAMEA4680576	ERR2592367	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2592367/ERR2592367.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/007/ERR2592367/ERR2592367.fastq.gz	E-MTAB-6811:4259sTS.Rat.Heart.12.Female
SAMEA4680579	ERR2592370	Rattus norvegicus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2592370/ERR2592370.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/000/ERR2592370/ERR2592370.fastq.gz	E-MTAB-6811:3514sTS.Rat.Heart.13.Female
