sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4670042	ERR2587351	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2587351/ERR2587351.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2587351/ERR2587351.fastq.gz	E-MTAB-6782:4754sTS.Rabbit.Heart.12.Female
SAMEA4670045	ERR2587354	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2587354/ERR2587354.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2587354/ERR2587354.fastq.gz	E-MTAB-6782:4755sTS.Rabbit.Ovary.12.Female
SAMEA4670048	ERR2587357	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2587357/ERR2587357.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2587357/ERR2587357.fastq.gz	E-MTAB-6782:4745sTS.Rabbit.WholeBrain.12.Male
SAMEA4670049	ERR2587358	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2587358/ERR2587358.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2587358/ERR2587358.fastq.gz	E-MTAB-6782:4748sTS.Rabbit.WholeBrain.12.Male
SAMEA4670052	ERR2587361	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2587361/ERR2587361.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2587361/ERR2587361.fastq.gz	E-MTAB-6782:4736sTS.Rabbit.Heart.13.Female
SAMEA4670057	ERR2587366	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587366/ERR2587366.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587366/ERR2587366.fastq.gz	E-MTAB-6782:4828sTS.Rabbit.Liver.13.Male
SAMEA4670058	ERR2587367	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2587367/ERR2587367.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2587367/ERR2587367.fastq.gz	E-MTAB-6782:4926sTS.Rabbit.Liver.13.Male
SAMEA4670060	ERR2587369	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/009/ERR2587369/ERR2587369.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/009/ERR2587369/ERR2587369.fastq.gz	E-MTAB-6782:4804sTS.Rabbit.Ovary.13.Female
SAMEA4670061	ERR2587370	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2587370/ERR2587370.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2587370/ERR2587370.fastq.gz	E-MTAB-6782:4800sTS.Rabbit.Testis.13.Male
SAMEA4670064	ERR2587373	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2587373/ERR2587373.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2587373/ERR2587373.fastq.gz	E-MTAB-6782:4799sTS.Rabbit.WholeBrain.13.Male
SAMEA4670067	ERR2587376	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587376/ERR2587376.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587376/ERR2587376.fastq.gz	E-MTAB-6782:4818sTS.Rabbit.Heart.14.Female
SAMEA4670069	ERR2587378	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2587378/ERR2587378.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2587378/ERR2587378.fastq.gz	E-MTAB-6782:4996sTS.Rabbit.Heart.14.Male
SAMEA4670072	ERR2587381	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2587381/ERR2587381.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2587381/ERR2587381.fastq.gz	E-MTAB-6782:4939sTS.Rabbit.Liver.14.Female
SAMEA4670076	ERR2587385	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2587385/ERR2587385.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2587385/ERR2587385.fastq.gz	E-MTAB-6782:4826sTS.Rabbit.Testis.14.Male
SAMEA4670077	ERR2587386	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587386/ERR2587386.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587386/ERR2587386.fastq.gz	E-MTAB-6782:4998sTS.Rabbit.Testis.14.Male
SAMEA4670082	ERR2587391	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2587391/ERR2587391.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2587391/ERR2587391.fastq.gz	E-MTAB-6782:4838sTS.Rabbit.Brain.15.5.Male
SAMEA4670086	ERR2587395	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2587395/ERR2587395.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2587395/ERR2587395.fastq.gz	E-MTAB-6782:3374sTS.Rabbit.Heart.15.5.Male
SAMEA4670087	ERR2587396	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587396/ERR2587396.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587396/ERR2587396.fastq.gz	E-MTAB-6782:3429sTS.Rabbit.Heart.15.5.Male
SAMEA4670090	ERR2587399	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/009/ERR2587399/ERR2587399.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/009/ERR2587399/ERR2587399.fastq.gz	E-MTAB-6782:4839sTS.Rabbit.Cerebellum.15.5.Male
SAMEA4670095	ERR2587404	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2587404/ERR2587404.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2587404/ERR2587404.fastq.gz	E-MTAB-6782:3375sTS.Rabbit.Kidney.15.5.Male
SAMEA4670097	ERR2587406	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2587406/ERR2587406.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2587406/ERR2587406.fastq.gz	E-MTAB-6782:3452sTS.Rabbit.Kidney.15.5.Female
SAMEA4670098	ERR2587407	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2587407/ERR2587407.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2587407/ERR2587407.fastq.gz	E-MTAB-6782:3297sTS.Rabbit.Liver.15.5.Female
SAMEA4670099	ERR2587408	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2587408/ERR2587408.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2587408/ERR2587408.fastq.gz	E-MTAB-6782:3454sTS.Rabbit.Liver.15.5.Female
SAMEA4670105	ERR2587414	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2587414/ERR2587414.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2587414/ERR2587414.fastq.gz	E-MTAB-6782:3376sTS.Rabbit.Testis.15.5.Male
SAMEA4670106	ERR2587415	Oryctolagus cuniculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2587415/ERR2587415.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2587415/ERR2587415.fastq.gz	E-MTAB-6782:3373sTS.Rabbit.WholeBrain.15.5.Male
